TimeSec,Amplitude
0,-0.03243338
9.07E-05,-0.029336735
0.000181406,-0.011111111
0.000272109,0.010589422
0.000362812,0.024594993
0.000453515,0.033091787
0.000544218,0.111111111
0.000634921,0.100907029
0.000725624,0.169595616
0.000816327,0.194339623
0.000907029,0.242641509
0.000997732,0.307509053
0.001088435,0.366213152
0.001179138,0.444596913
0.001269841,0.546938776
0.001360544,0.626502214
0.001451247,0.730392157
0.00154195,0.790116046
0.001632653,0.888888889
0.001723356,0.927521008
0.001814059,1
0.001904762,0.950328407
0.001995465,0.912452107
0.002086168,0.886170213
0.002176871,0.830022489
0.002267574,0.752777778
0.002358277,0.61521164
0.00244898,0.449159664
0.002539683,0.332161125
0.002630385,0.14900111
0.002721088,-0.017496229
0.002811791,-0.187895928
0.002902494,-0.375981162
0.002993197,-0.540216086
0.0030839,-0.693605442
0.003174603,-0.769019608
0.003265306,-0.851419878
0.003356009,-0.864858012
0.003446712,-0.884661836
0.003537415,-0.844834087
0.003628118,-0.730562715
0.003718821,-0.602308665
0.003809524,-0.490196078
0.003900227,-0.361409797
0.00399093,-0.243191721
0.004081633,-0.123339658
0.004172336,-0.048301887
0.004263039,0.033496732
0.004353741,0.091020408
0.004444444,0.115555556
0.004535147,0.103174603
0.00462585,0.090144928
0.004716553,0.070237256
0.004807256,0.022037037
0.004897959,-0.03961039
0.004988662,-0.111111111
0.005079365,-0.131613757
0.005170068,-0.160521886
0.005260771,-0.222760551
0.005351474,-0.251984127
0.005442177,-0.284161491
0.00553288,-0.272233202
0.005623583,-0.300526203
0.005714286,-0.280479606
0.005804989,-0.265382015
0.005895692,-0.247691198
0.005986395,-0.221280603
0.006077098,-0.185091197
0.0061678,-0.193220339
0.006258503,-0.186243595
0.006349206,-0.148436135
0.006439909,-0.143232819
0.006530612,-0.142080745
0.006621315,-0.131255127
0.006712018,-0.102725367
0.006802721,-0.112159329
0.006893424,-0.096082855
0.006984127,-0.099019608
0.00707483,-0.083673469
0.007165533,-0.083478261
0.007256236,-0.068686869
0.007346939,-0.072751323
0.007437642,-0.076118326
0.007528345,-0.099524658
0.007619048,-0.134375
0.007709751,-0.137202381
0.007800454,-0.144345238
0.007891156,-0.149286988
0.007981859,-0.147186147
0.008072562,-0.145531401
0.008163265,-0.163810087
0.008253968,-0.161030596
0.008344671,-0.15780543
0.008435374,-0.143698854
0.008526077,-0.145888594
0.00861678,-0.145550528
0.008707483,-0.137267905
0.008798186,-0.135141988
0.008888889,-0.153529412
0.008979592,-0.125322997
0.009070295,-0.101923077
0.009160998,-0.122655664
0.009251701,-0.066666667
0.009342404,-0.054433498
0.009433107,-0.08511396
0.00952381,-0.076505017
0.009614512,-0.085784314
0.009705215,-0.097437554
0.009795918,-0.090413943
0.009886621,-0.065410594
0.009977324,-0.075779327
0.010068027,-0.080242967
0.01015873,-0.080816327
0.010249433,-0.113152644
0.010340136,-0.102430556
0.010430839,-0.124358974
0.010521542,-0.145498282
0.010612245,-0.124409364
0.010702948,-0.148351648
0.010793651,-0.134455128
0.010884354,-0.127922078
0.010975057,-0.144345238
0.01106576,-0.146239023
0.011156463,-0.168025078
0.011247166,-0.144719687
0.011337868,-0.163213531
0.011428571,-0.160093168
0.011519274,-0.17533137
0.011609977,-0.204419626
0.01170068,-0.223988163
0.011791383,-0.230201863
0.011882086,-0.25
0.011972789,-0.239356884
0.012063492,-0.25
0.012154195,-0.257885763
0.012244898,-0.259300762
0.012335601,-0.26124031
0.012426304,-0.25462963
0.012517007,-0.243978405
0.01260771,-0.258966924
0.012698413,-0.252444728
0.012789116,-0.271286232
0.012879819,-0.258341759
0.012970522,-0.255434783
0.013061224,-0.274615385
0.013151927,-0.304846939
0.01324263,-0.339642857
0.013333333,-0.366410256
0.013424036,-0.385641026
0.013514739,-0.4
0.013605442,-0.448660714
0.013696145,-0.485294118
0.013786848,-0.512908497
0.013877551,-0.520833333
0.013968254,-0.539230769
0.014058957,-0.550089646
0.01414966,-0.542551041
0.014240363,-0.490074686
0.014331066,-0.466435185
0.014421769,-0.381387579
0.014512472,-0.304169203
0.014603175,-0.200798306
0.014693878,-0.114379085
0.01478458,-0.024489796
0.014875283,0.073655914
0.014965986,0.181746032
0.015056689,0.257603687
0.015147392,0.34
0.015238095,0.420634921
0.015328798,0.510272537
0.015419501,0.604212374
0.015510204,0.681374355
0.015600907,0.730797101
0.01569161,0.781746032
0.015782313,0.777777778
0.015873016,0.793309438
0.015963719,0.836901625
0.016054422,0.845238095
0.016145125,0.857142857
0.016235828,0.835978836
0.016326531,0.826930654
0.016417234,0.791005291
0.016507937,0.766326531
0.016598639,0.721428571
0.016689342,0.685208333
0.016780045,0.659285714
0.016870748,0.628949119
0.016961451,0.58701255
0.017052154,0.561487639
0.017142857,0.528110945
0.01723356,0.47568355
0.017324263,0.44316507
0.017414966,0.37458256
0.017505669,0.326679842
0.017596372,0.311540149
0.017687075,0.287301587
0.017777778,0.272077922
0.017868481,0.24127907
0.017959184,0.20483871
0.018049887,0.196774194
0.01814059,0.140419616
0.018231293,0.132034632
0.018321995,0.118823529
0.018412698,0.081768878
0.018503401,0.059782609
0.018594104,0.038475768
0.018684807,0.045031572
0.01877551,0.015827517
0.018866213,-0.005208333
0.018956916,-0.032066869
0.019047619,-0.037357316
0.019138322,-0.049254317
0.019229025,-0.0603396
0.019319728,-0.049007937
0.019410431,-0.041684759
0.019501134,-0.036038961
0.019591837,-0.056969697
0.01968254,-0.056802244
0.019773243,-0.052666228
0.019863946,-0.046700325
0.019954649,-0.072927199
0.020045351,-0.049007937
0.020136054,-0.06202046
0.020226757,-0.081407563
0.02031746,-0.058390023
0.020408163,-0.038926682
0.020498866,-0.048329448
0.020589569,-0.024092971
0.020680272,-0.039809863
0.020770975,-0.062870309
0.020861678,-0.007692308
0.020952381,-0.061676083
0.021043084,-0.059043779
0.021133787,-0.05466429
0.02122449,-0.056035974
0.021315193,-0.035130971
0.021405896,-0.028958333
0.021496599,-0.031527094
0.021587302,-0.047780797
0.021678005,-0.050676254
0.021768707,-0.042261905
0.02185941,-0.067787115
0.021950113,-0.050030321
0.022040816,-0.019850629
0.022131519,-0.038640429
0.022222222,-0.036813187
0.022312925,-0.040296496
0.022403628,-0.016576819
